wave,MT2,MT3,MT7,MT8,MT11,MT12,MT13,MT14,MT19,MT20,MT21,MT24,MT25,MT15,MT16,MT17,MT18,MT28,MT29,MT32,MT34
1229,0.457696423112198,0.594605915342192,1.74307875262269,1.59365656664946,1.93517103773076,1.59899754696344,2.10084374858999,1.71474749615813,1.360572586,1.330636385,1.2888982,1.61743826,1.750804909,1.38770916,1.192845276,1.283463763,1.008779056,1.416076334,0.9291421122,1.199470535,1.084885071
1228,0.454906756343626,0.595769436622996,1.74132903098749,1.59270636227361,1.94822131545361,1.60410538499931,2.09943599693182,1.71398442053945,1.360816586,1.331048441,1.28911057,1.615317968,1.749321077,1.38823796,1.190475102,1.280281142,1.00698334,1.4159683,0.9292213037,1.195797345,1.084344849
1227,0.451696728829104,0.604053708142322,1.74433612834322,1.59672834803693,1.94854487605831,1.59447376525183,2.09853359202274,1.71299878119866,1.359611375,1.331721062,1.288835063,1.616873865,1.748803136,1.384135977,1.187289466,1.278641997,1.007204241,1.414725901,0.929623353,1.196920589,1.082487836
1226,0.453301742586365,0.606124776022153,1.74182895145469,1.59453304827202,1.93519800111449,1.59376227845682,2.10008572846636,1.71223570557999,1.362369312,1.332399743,1.288926899,1.6093842,1.746848024,1.384423041,1.186031978,1.277870259,1.007809939,1.415100164,0.9282770972,1.198895325,1.085192698
1225,0.457276062366249,0.61119772880646,1.73902636701737,1.59103531319883,1.93346335676152,1.5998364642292,2.10172810540089,1.71077314397753,1.361652101,1.331260529,1.288875241,1.611123145,1.746451402,1.384460812,1.183532245,1.279279796,1.008843188,1.412364571,0.9268151,1.199416185,1.084592451
1224,0.460982879853256,0.60572917878668,1.74319994546322,1.59363199239837,1.94693606082939,1.59780819590311,2.10824346884447,1.71262784166181,1.362465433,1.328079212,1.290941547,1.61306039,1.745018898,1.382851747,1.182190925,1.279031054,1.008864566,1.411550452,0.927485182,1.198406171,1.081790049
1223,0.459148578416386,0.615200242012426,1.74169260950909,1.59173158364666,1.93712138915353,1.60284169949771,2.10740423227902,1.71123946796672,1.36332313,1.3282913,1.29021834,1.617007337,1.745270869,1.379331445,1.18048379,1.279311686,1.008800433,1.410717042,0.9291207914,1.19697494,1.080878424
1222,0.462205747477835,0.612570683917809,1.74151839480083,1.59323061296374,1.91981988459672,1.60701504741475,2.10422776699905,1.71220391076255,1.36349319,1.329424454,1.289426256,1.615173056,1.741668611,1.380925401,1.178052647,1.279503026,1.007403765,1.412966479,0.9268973373,1.196363496,1.078372393
1221,0.464498624273922,0.620785144160287,1.73970807674537,1.59246881117965,1.90952885980838,1.60762034215081,2.09933673239182,1.71130305760161,1.364129069,1.329091174,1.2888982,1.611001114,1.74435164,1.381144476,1.178913835,1.280695712,1.009263614,1.410385221,0.9274760446,1.196096273,1.075603755
1220,0.471721186181596,0.622483885230261,1.7381704425811,1.59291114769944,1.91134439431252,1.59728785481422,2.10054595496999,1.709066822108,1.364210402,1.328570044,1.291928781,1.608529982,1.740628062,1.377503305,1.17553005,1.281537608,1.010781421,1.41224882,0.9269978496,1.196993057,1.075329892
1219,0.467899724854784,0.625858096944593,1.73875368312617,1.59210838883018,1.92988621452068,1.59472862619333,2.10423679104814,1.70903502729055,1.364483977,1.326164362,1.290120764,1.611035435,1.747603938,1.377027384,1.172161507,1.281665168,1.011821797,1.410581999,0.9282466389,1.19513608,1.074894713
1218,0.472332619993886,0.626416587159379,1.7390793888851,1.5936401838154,1.93572828099441,1.60341513661608,2.1067364526463,1.70836733612421,1.365289916,1.324970611,1.289294242,1.606348674,1.745611497,1.376642115,1.175004192,1.28185013,1.014379979,1.408012316,0.9307137592,1.192767303,1.075918884
1217,0.476650871293182,0.628301491634282,1.74319237091069,1.59521293588578,1.94778990131402,1.61147511389098,2.11274646934079,1.71128186105665,1.369016459,1.325431144,1.291819726,1.605967326,1.746082777,1.375312559,1.172946484,1.280453348,1.013453618,1.408189802,0.9292548078,1.192341557,1.078214828
1216,0.479899113420972,0.629930421427408,1.74286666515176,1.59024893716364,1.95298484657835,1.61339719015812,2.11292695032261,1.71016904244608,1.368935126,1.326115885,1.290975985,1.610562564,1.748863795,1.373847025,1.172702608,1.28200958,1.014094945,1.407618761,0.9321392065,1.193867901,1.07999306
1215,0.48035768878019,0.633770041654062,1.74088213238803,1.59077318785377,1.9532185292373,1.60788582229821,2.11289085412625,1.71020083726353,1.370132943,1.325800783,1.291917302,1.611439663,1.746796696,1.37320491,1.169760849,1.283974003,1.01472202,1.40406905,0.9283075555,1.196014747,1.079719197
1214,0.482688780189544,0.642380099132013,1.74121541269949,1.59214115449832,1.96077726447484,1.60897960050547,2.11729459008257,1.7125748502994,1.371840942,1.325976513,1.293995087,1.614612475,1.748723811,1.37524457,1.168739616,1.284739363,1.016268331,1.406773776,0.9286151841,1.198999497,1.078518703
1213,0.482918067869153,0.647848649151793,1.74369986593042,1.59300944470384,1.96108284949039,1.63214008856418,2.11594098271895,1.70939536855493,1.370783609,1.327503545,1.295688309,1.612926919,1.750118987,1.371769594,1.169798954,1.282577222,1.017750509,1.407402692,0.9311462667,1.199778522,1.079058925
1212,0.488535616019566,0.647150536383311,1.74547231122321,1.59535218997534,1.96467796732038,1.64184604275292,2.11826016333529,1.70904562556303,1.372055366,1.329212367,1.298437643,1.612049819,1.748271196,1.371384325,1.16615605,1.283380849,1.016439352,1.409000062,0.9296538112,1.194787331,1.07897264
1211,0.488612045246102,0.644381355734996,1.74327569098855,1.59368114090056,1.9660710754795,1.62584289946798,2.11768262419348,1.70955434264215,1.372772577,1.329630482,1.300739278,1.611531187,1.752078764,1.370787535,1.166918164,1.287214026,1.019817008,1.407630336,0.9310853502,1.197781139,1.078053512
1210,0.496942830938551,0.650734181928187,1.74755531316987,1.59626962868307,1.9723894950657,1.61161316356763,2.11363082615169,1.70730750887605,1.373349304,1.329703198,1.30004477,1.615798465,1.754374504,1.37272899,1.167154419,1.287163003,1.018691123,1.406175726,0.9305980178,1.199764934,1.076823006
